City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Constitucion,CL,52.36,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
Jamestown,US,64.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
Barrow,US,51.82,clear sky,71.2906,-156.7887,King Eider Inn
Juneau,US,56.21,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
Vicuna,CL,46.13,overcast clouds,-30.0319,-70.7081,Los Mosaicos
Nuuk,GL,45.21,light snow,64.1835,-51.7216,Vandrehuset
Makokou,GA,68.56,light rain,0.5738,12.8642,Hôtel
Iwanai,JP,62.04,broken clouds,42.9744,140.5089,いわない高原ホテル
Vardo,NO,42.78,overcast clouds,70.3705,31.1107,Vardø Hotel AS
Vostok,RU,59.99,few clouds,46.4856,135.8833,
Bluff,NZ,42.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
Carnarvon,AU,55.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
Dali,CN,60.89,broken clouds,25.7,100.1833,Dali Travelling With Hostel
North Bend,US,69.24,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
Santiago,CL,56.86,broken clouds,-33.4569,-70.6483,Hotel Panamericano
Beisfjord,NO,52.05,overcast clouds,68.3751,17.5988,
Port Alfred,ZA,57.61,broken clouds,-33.5906,26.891,The Halyards Hotel
Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
Muros,ES,57.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
Castro,BR,51.06,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
Albany,US,68.65,clear sky,42.6001,-73.9662,
Muravlenko,RU,61.07,scattered clouds,63.7898,74.523,Hostel Rus Muravlenko
Cherskiy,RU,61.07,overcast clouds,68.75,161.3,Gostinitsa
Brae,GB,49.37,clear sky,60.3964,-1.353,Busta House Hotel
Rawson,AR,41.22,clear sky,-43.3002,-65.1023,Hosteria Sampedro
East London,ZA,62.38,overcast clouds,-33.0153,27.9116,Tu Casa
Odda,NO,54.77,broken clouds,60.0691,6.5457,Trolltunga Camping
New Norfolk,AU,52.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
Muhos,FI,47.98,overcast clouds,64.808,25.9931,Montta - active camping / campsite Montan
Zhaotong,CN,62.38,overcast clouds,27.3167,103.7167,Jingguan Home
Cape Town,ZA,55.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
Marquette,US,67.82,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
Obo,CF,64.99,overcast clouds,5.3998,26.4869,
Chokurdakh,RU,45.1,overcast clouds,70.6333,147.9167,
Khasan,RU,69.01,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
Ponta Do Sol,PT,69.01,broken clouds,32.6667,-17.1,Hotel do Campo
Kaitangata,NZ,45.39,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
Tilichiki,RU,44.74,light rain,60.4667,166.1,
Rio Claro,BR,61.32,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
Esperance,AU,48.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
Port Hardy,CA,57.38,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
Rupert,US,62.55,few clouds,42.6191,-113.6772,Uptown Motel
Bambous Virieux,MU,68.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
Azul,AR,46.35,scattered clouds,-36.777,-59.8585,Cabañas Dulcinea
Aksarka,RU,59.45,overcast clouds,66.5606,67.7975,
Porto Santo,PT,66.58,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
Manzhouli,CN,64.47,overcast clouds,49.6,117.4333,Angala International Youth Hostel
Saskylakh,RU,41.29,few clouds,71.9167,114.0833,
Hovd,MN,61.41,overcast clouds,48.0056,91.6419,Hotel Khovd
Hermanus,ZA,45.81,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
Kholtoson,RU,54.48,scattered clouds,50.2981,103.3097,
Fortuna,US,65.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
Cap Malheureux,MU,67.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
Rocha,UY,46.17,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
Severnyy,RU,66.24,clear sky,50.677,36.5532,Full House North Mini-Hotel
Srednekolymsk,RU,63.81,overcast clouds,67.45,153.6833,
Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Huarmey,PE,65.01,clear sky,-10.0681,-78.1522,Hotel Miramar
Palmer,US,69.4,broken clouds,42.1584,-72.3287,Wedgewood Motel
Ancud,CL,40.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
Kenai,US,62.02,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
Dudinka,RU,58.68,broken clouds,69.4058,86.1778,Hotel Viktoria
Khatanga,RU,48.27,broken clouds,71.9667,102.5,"""Khatanga"""
Ahipara,NZ,54.59,light rain,-35.1667,173.1667,Ahipara Holiday Park
Solnechnyy,RU,53.37,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
Grindavik,IS,48.67,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
Leh,IN,42.73,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
Santa Maria,BR,47.5,clear sky,-29.6842,-53.8069,Hotel Morotin
Provideniya,RU,41.11,fog,64.3833,-173.3,
Talnakh,RU,62.47,overcast clouds,69.4865,88.3972,Talnakh Hotel
Raudeberg,NO,54.27,clear sky,61.9875,5.1352,Nordre Silda.
Ternuvate,UA,61.92,clear sky,47.8305,36.1276,
Bilibino,RU,63.32,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
Tocopilla,CL,61.23,few clouds,-22.092,-70.1979,Hotel Galvarino
Broome,US,63.86,clear sky,42.2506,-75.833,Chenango Valley State Park
Ketchikan,US,54.07,light rain,55.3422,-131.6461,Snow's Cove Lodge
Aurdal,NO,44.13,broken clouds,60.9242,9.4159,Aurdal FjordCamping
Codrington,AU,54.36,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
Podgorenskiy,RU,60.17,clear sky,50.405,39.6429,Lyudmila
Pevek,RU,44.8,overcast clouds,69.7008,170.3133,Severnoye Zoloto
Roald,NO,51.75,clear sky,62.5833,6.1333,Flem Cabins
Chapais,CA,64.18,clear sky,49.7834,-74.8492,Hôtel Opémiska
Portland,US,66.78,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
Canmore,CA,68.11,overcast clouds,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
Bereda,ES,54.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
Cidreira,BR,53.83,clear sky,-30.1811,-50.2056,Hotel Castelo
Lata,PT,54.72,broken clouds,40.1629,-8.3327,Casa Maquia
Arraial Do Cabo,BR,68.83,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
Kununurra,AU,64.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
Vestmannaeyjar,IS,49.32,overcast clouds,63.4427,-20.2734,Glamping & Camping
Arnprior,CA,68.65,clear sky,45.4334,-76.3494,Country Squire Motel
Kella,DE,63.63,scattered clouds,51.2333,10.0833,Schloss Wolfsbrunnen
Abu Samrah,SY,69.3,clear sky,35.3029,37.1841,
Mmabatho,ZA,55.36,clear sky,-25.85,25.6333,Mahikeng Guest Apartments
Kurchum,KZ,65.01,scattered clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
Mingaora,PK,67.41,overcast clouds,34.7758,72.3625,Burj Al Swat
Lagoa,PT,63.27,overcast clouds,39.05,-27.9833,Casa Das Faias
Pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
Bahia Blanca,AR,43.52,scattered clouds,-38.7196,-62.2724,Hotel Argos
Lebu,CL,51.22,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
Asau,RO,58.12,clear sky,46.4333,26.4,Casa Mika Ciobanus
Naron,ES,57.04,overcast clouds,43.5167,-8.1528,Marcial
Nemuro,JP,55.02,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
Whitehorse,CA,65.17,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
Iqaluit,CA,53.33,broken clouds,63.7506,-68.5145,Frobisher Inn
Sitka,US,53.49,light rain,57.0531,-135.33,Westmark Sitka
Appingedam,NL,56.08,broken clouds,53.3217,6.8583,estate Ekenstein
Usinsk,RU,55.45,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
Yulara,AU,63.05,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Bonavista,CA,52.3,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
Berezovyy,RU,58.95,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
Verkhniy Lomov,RU,62.56,overcast clouds,53.4678,43.5511,
Staryy Nadym,RU,64.15,overcast clouds,65.6118,72.6842,
Paamiut,GL,40.14,overcast clouds,61.994,-49.6678,Pistut
Magistralnyy,RU,59.61,light rain,56.1725,107.4458,Магистраль
San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
Nikolskoye,RU,55.8,scattered clouds,59.7035,30.7861,Tourist House - Sablino
Cianorte,BR,58.23,moderate rain,-23.6633,-52.605,Hotel Cianorte Diamond
Mlalo,TZ,67.1,broken clouds,-4.9333,38.9333,B Farm
Shache,CN,64.49,broken clouds,38.4167,77.2406,Delong Hotel
Ulaangom,MN,60.64,few clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
Wellington,NZ,47.86,scattered clouds,-41.2866,174.7756,CityLife Wellington
Honningsvag,NO,42.55,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
Miandrivazo,MG,68.13,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
Lulea,SE,50.07,scattered clouds,65.5842,22.1547,Comfort Hotel Arctic
Normandin,CA,68.31,clear sky,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
Schwedt,DE,58.57,light rain,53.0596,14.2815,Andersen Hotel Schwedt
Vila Franca Do Campo,PT,65.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
Pogoanele,RO,60.76,clear sky,44.9167,27.0,Casa Bujoreni
Dunedin,NZ,45.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
Marienburg,PL,58.12,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
Torbay,CA,59.77,broken clouds,47.6666,-52.7314,Gallows Cove
Guerrero Negro,MX,69.85,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
La Baule-Escoublac,FR,62.26,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
Madimba,TZ,68.25,clear sky,-10.4,40.3333,
Sibiti,CG,66.47,overcast clouds,-3.6819,13.3499,Gaby et confort
Aranda De Duero,ES,62.08,broken clouds,41.6704,-3.6892,Hotel Villa de Aranda
Hay River,CA,67.96,broken clouds,60.8156,-115.7999,Ptarmigan Inn
Ayagoz,KZ,64.8,clear sky,47.9714,80.4392,ХАН
Margate,GB,57.87,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
Berlevag,NO,42.8,overcast clouds,70.8578,29.0864,Kvitbrakka
Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
Teguise,ES,68.22,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
Lichuan,CN,67.91,broken clouds,30.3,108.85,Yuanlai Homestay
Requena,ES,68.79,clear sky,39.4883,-1.1004,Hotel Avenida
Necochea,AR,44.33,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
Coihueco,CL,45.34,mist,-36.6167,-71.8333,Frutillares Centro Coihueco
Havre-Saint-Pierre,CA,46.4,mist,50.2334,-63.5986,Auberge Niapiskau
Hualmay,PE,62.87,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
Sal,JO,63.73,clear sky,32.5694,35.9119,مضافة الجرادات سال
Cabra,ES,62.01,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
Kholm,RU,47.61,scattered clouds,59.2667,32.85,
Saquarema,BR,65.53,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
Saint-Joseph,RE,64.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
Kayerkan,RU,60.08,overcast clouds,69.3497,87.7602,
Sheridan,US,68.38,scattered clouds,44.8333,-106.9173,Comfort Inn & Suites
Chuy,UY,46.15,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
Byron Bay,AU,59.94,overcast clouds,-28.65,153.6167,Backpackers Inn
Geraldton,AU,50.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
Suna,RU,53.33,light rain,57.8338,50.0588,Gostinitsa Mirazh
Vestmanna,FO,47.32,light rain,62.1564,-7.1664,Vestmanna Camping
Romny,UA,61.14,clear sky,50.751,33.4747,Floriana
Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Hotel San Juan
Khani,GE,58.57,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
Basarabeasca,MD,63.72,clear sky,46.3311,28.9728,
Velikiy Ustyug,RU,52.12,overcast clouds,60.7644,46.3106,Dvina
Catamarca,AR,51.64,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
Youhao,CN,69.46,overcast clouds,47.8667,128.8333,Changcheng Hotel
Naryan-Mar,RU,51.35,overcast clouds,67.6713,53.087,Hostel Agat
Beaverlodge,CA,60.15,broken clouds,55.2166,-119.4361,Side Trax Inn
Roebourne,AU,69.31,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
Konstantinovka,RU,62.37,overcast clouds,49.6167,127.9833,
Borovoy,RU,58.28,scattered clouds,55.4333,86.0833,Tsimus
Port Macquarie,AU,58.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
Praia Da Vitoria,PT,64.65,scattered clouds,38.7333,-27.0667,Hotel Branco I
Vagur,FO,48.97,light rain,61.4732,-6.8119,Budget Guesthouse Borgustova
San Jeronimo,PE,48.76,scattered clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
Saldanha,ZA,48.25,broken clouds,-33.0117,17.9442,Blue Bay Lodge
Cucutilla,CO,64.62,overcast clouds,7.5394,-72.7724,HOTEL SAN MIGUEL
Evensk,RU,47.46,overcast clouds,61.95,159.2333,
Ferrol,ES,56.71,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
Sochi,RU,69.1,light rain,43.6,39.7303,Bounty Hotel
Mercedes,AR,46.85,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
Verkhoyansk,RU,52.92,broken clouds,67.5447,133.385,
Maldonado,UY,49.23,broken clouds,-34.6667,-54.9167,La Cimarrona
Quatre Cocos,MU,68.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
Aktau,KZ,68.58,clear sky,43.65,51.2,Silk Way Hotel
Pangnirtung,CA,40.57,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
Ginda,IN,57.94,few clouds,30.6945,78.4932,Sunil Bisht
Rochegda,RU,50.56,overcast clouds,62.8,43.25,
Ponta Delgada,PT,65.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
Stornoway,GB,48.92,overcast clouds,58.2093,-6.3865,Caladh Inn
Lima,PE,59.25,broken clouds,-12.0432,-77.0282,Hotel Kamana
Wanaka,NZ,40.1,scattered clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
Gogaran,AM,60.64,overcast clouds,40.8926,44.1992,
Nidzica,PL,58.59,scattered clouds,53.3605,20.4275,Zajazd Leśny Noclegi Wesela Przyjęcia Grupy Zorganizowane Komunie Imprezy Grill
Tete,MZ,55.49,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
Krasnokamensk,RU,65.21,overcast clouds,50.0979,118.0369,Tsentral'naya
Zlatoust,RU,48.56,broken clouds,55.1711,59.6508,Bellmont
Mpika,ZM,52.68,few clouds,-11.8343,31.4529,Melodies Lodge
Olafsvik,IS,48.11,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
Lauria,IT,64.42,scattered clouds,40.0465,15.8358,Hotel Isola Di Lauria
Narsaq,GL,48.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
Kachiry,KZ,63.34,clear sky,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
Flinders,AU,58.37,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
Bantry,IE,56.79,few clouds,51.6833,-9.45,The Maritime Hotel
Anadyr,RU,52.3,scattered clouds,64.75,177.4833,Отке17.ру — жильё для командированных
Qaqortoq,GL,40.21,overcast clouds,60.7167,-46.0333,Siniffik Inn
Mount Isa,AU,64.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
Chicama,PE,61.34,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
Port Hedland,AU,60.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
Forest Grove,US,65.5,overcast clouds,45.5198,-123.1107,McMenamins Grand Lodge
Khawhai,IN,60.39,overcast clouds,23.3667,93.1167,Homestay Khawhai
San Rafael,AR,45.19,broken clouds,-34.6177,-68.3301,Hotel San Rafael
Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
Perth,AU,55.58,broken clouds,-31.9333,115.8333,Quest on Rheola
Wexford,IE,54.21,clear sky,52.3342,-6.4575,Talbot Hotel Wexford
Ambilobe,MG,66.97,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
Moron,AR,55.78,broken clouds,-34.6534,-58.6198,Hotel Morón
Zhigansk,RU,44.76,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
Iquique,CL,59.04,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
Atasu,KZ,67.93,overcast clouds,48.6814,71.6433,Dostyk
Mandalgovi,MN,57.42,clear sky,45.7625,106.2708,В.Ганбат
Lusambo,CD,68.36,light rain,-4.9667,23.45,
Dalvik,IS,57.13,overcast clouds,65.9702,-18.5286,Dalvík Hostel
Novyy Urgal,RU,64.0,broken clouds,51.0736,132.5642,
Cuamba,MZ,54.64,clear sky,-14.8031,36.5372,Hotel Vision
Vejle,DK,53.33,scattered clouds,55.7093,9.5357,ToRVEhallerne
Akonolinga,CM,66.15,light rain,3.7667,12.25,Le Diamant De Mireille
Beringovskiy,RU,47.43,overcast clouds,63.05,179.3167,
Kiama,AU,62.01,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
Skibbereen,IE,57.11,few clouds,51.55,-9.2667,The West Cork Hotel
Shelui,TZ,65.03,overcast clouds,-4.3667,34.2,PARIS GUEST HOUSE
Salta,AR,55.99,clear sky,-24.7859,-65.4117,Hotel Alejandro I
Santander,ES,62.46,overcast clouds,43.4647,-3.8044,Abba Santander Hotel
Visnes,NO,53.65,few clouds,59.3556,5.2242,Park Inn Haugesund Airport
Rafaela,AR,55.98,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
Haines Junction,CA,62.55,scattered clouds,60.7522,-137.5108,Parkside Inn
Charters Towers,AU,67.53,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
Lembeni,TZ,59.0,broken clouds,-3.7833,37.6167,Duara Travels Lembeni village experience
Strezhevoy,RU,62.91,scattered clouds,60.7333,77.5889,Sibiryachka
Falun,SE,55.81,overcast clouds,60.6036,15.626,First Hotel Grand
West Wendover,US,67.21,scattered clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
Dzerzhinsk,RU,60.62,scattered clouds,56.2389,43.4631,Hotel Druzhba
Dese,ET,58.01,overcast clouds,11.1333,39.6333,Joamla Hotel
Sandovo,RU,44.76,overcast clouds,58.4602,36.4128,
Mogzon,RU,60.26,overcast clouds,51.7435,111.9606,
Broken Hill,AU,57.06,broken clouds,-31.95,141.4333,Royal Exchange Hotel
Belaya Gora,RU,56.35,scattered clouds,68.5333,146.4167,
Taksimo,RU,66.76,light rain,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
Altay,CN,63.66,clear sky,47.8667,88.1167,Jinqiao Hotel
Mbinga,TZ,51.78,clear sky,-10.9333,35.0167,Mbinga Lodge
Groa,NO,51.21,light rain,62.65,8.7167,Skogly Camping
Kushiro,JP,63.55,moderate rain,42.975,144.3747,Toyoko Inn Kushiro Jujigai
Tromso,NO,47.37,overcast clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
Baranain,ES,66.29,clear sky,42.8057,-1.6773,Hotel Albret
Port Lincoln,AU,58.15,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
Vila,PT,46.71,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
Mount Gambier,AU,49.42,light rain,-37.8333,140.7667,The Commodore
Grants,US,64.63,scattered clouds,35.1473,-107.8514,"Motel 6 Grants, NM"
La Ronge,CA,68.25,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
Shebunino,RU,55.18,light rain,46.4339,141.8603,
Vila Nova De Milfontes,PT,63.25,clear sky,37.7238,-8.7828,Casazul
Leningradskiy,RU,53.49,broken clouds,69.3833,178.4167,Gostinitsa
Arman,RU,52.02,overcast clouds,59.7,150.1667,
Ucluelet,CA,61.11,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
Ust-Karsk,RU,63.32,moderate rain,52.7011,118.8077,
Suhbaatar,MN,63.12,clear sky,50.2314,106.2078,Hotel Nine
Karratha,AU,69.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
Aklavik,CA,57.24,broken clouds,68.2191,-135.0107,Aklavik Inn
Leshukonskoye,RU,49.66,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
Lerwick,GB,50.0,clear sky,60.1545,-1.1494,The Lerwick Hotel
Voitsberg,AT,61.74,broken clouds,47.0333,15.15,Ettlmaier
Mega,ET,56.16,light rain,4.05,38.3,Amanuel Guest House
Karema,TZ,69.42,scattered clouds,-6.8205,30.4389,
Lubango,AO,50.05,clear sky,-14.9172,13.4925,Hotel Serra da Chela
Igarka,RU,62.22,broken clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
Bafia,CM,67.14,broken clouds,4.75,11.2333,Hotel born beyem
Jumla,NP,56.3,overcast clouds,29.2747,82.1838,Royal Garden Hotel
Quelimane,MZ,66.15,clear sky,-17.8786,36.8883,Hotel Flamingo
Swift Current,CA,61.61,light rain,50.2834,-107.8014,"Motel 6 Swift Current, SK"
Icod De Los Vinos,ES,69.6,scattered clouds,28.3724,-16.7119,Hotel El Patio
Mackay,AU,68.68,overcast clouds,-21.15,149.2,International Lodge Motel
Petropavlovsk-Kamchatskiy,RU,64.99,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
Kwinana,AU,56.23,overcast clouds,-32.25,115.7667,Rockingham Apartments
Bunia,CD,61.83,overcast clouds,1.5667,30.25,Gold Star International Hotel
Oskarshamn,SE,45.99,broken clouds,57.2645,16.4484,Best Western Hotel Corallen
Yar-Sale,RU,61.07,light rain,66.8333,70.8333,Yalemd
Moree,AU,60.73,broken clouds,-29.4667,149.85,Molika Springs Motel
Jamsa,FI,51.15,overcast clouds,61.8642,25.19,Motel Patalahti
Nakusp,CA,66.54,overcast clouds,50.2499,-117.8023,Riders Retreat
Launceston,AU,54.81,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
Biala Podlaska,PL,64.02,clear sky,52.0324,23.1165,Hotel Osjann
Tondano,ID,69.89,light rain,1.3038,124.9112,Villa Bella
Tsiroanomandidy,MG,62.98,broken clouds,-18.7667,46.0333,Hotel Ravinala
Udachnyy,RU,46.45,few clouds,66.4167,112.4,Severnoye Siyaniye
Los Alamos,US,68.29,heavy intensity rain,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
Pitanga,BR,51.73,light rain,-24.7572,-51.7614,Hotel Santa Carmem
Hofn,IS,50.58,broken clouds,64.2539,-15.2082,Hótel Höfn
Saiha,IN,69.44,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
Mackenzie,CA,66.42,scattered clouds,55.2999,-123.1698,Hilton Shop
Mafra,BR,49.51,scattered clouds,-26.1114,-49.8053,Hotel Emacite Flex
Rexburg,US,64.38,broken clouds,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
Bandipur,NP,66.97,broken clouds,27.9333,84.4167,Bandipur Guest House
Aykhal,RU,46.47,clear sky,66.0,111.5,
Luena,AO,52.47,broken clouds,-11.7833,19.9167,Hotel Kandamba
